scheme_code,scheme_name,fund_house,category
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life,Debt
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Aditya Birla Sun Life,Debt
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Aditya Birla Sun Life,Debt
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Aditya Birla Sun Life,Debt
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Aditya Birla Sun Life,Debt
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Axis Banking & PSU,Debt
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Axis Banking & PSU,Debt
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Banking & PSU,Debt
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Axis Banking & PSU,Debt
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Axis Banking & PSU,Debt
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Bajaj Finserv Banking and,Other
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Bajaj Finserv Banking and,Other
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Bajaj Finserv Banking and,Other
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Bajaj Finserv Banking and,Other
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Bajaj Finserv Banking and,Other
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,Bandhan Banking and PSU,Other
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,Bandhan Banking and PSU,Other
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,Bandhan Banking and PSU,Other
121279,Bandhan Banking and PSU Fund - Direct Growth,Bandhan Banking and PSU,Other
121281,Bandhan Banking and PSU Fund - Direct IDCW,Bandhan Banking and PSU,Other
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Canara Robeco Banking and,Debt
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Canara Robeco Banking and,Debt
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Canara Robeco Banking and,Debt
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Canara Robeco Banking and,Debt
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,DSP Banking & PSU,Debt
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,DSP Banking & PSU,Debt
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,DSP Banking & PSU,Debt
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,DSP Banking & PSU,Debt
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,DSP Banking & PSU,Debt
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Edelweiss Banking and PSU,Debt
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,Edelweiss Banking and PSU,Debt
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,Edelweiss Banking and PSU,Debt
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,Edelweiss Banking and PSU,Debt
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,Edelweiss Banking and PSU,Debt
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Franklin India Banking &,Debt
129006,Franklin India Banking & PSU Debt Fund - Growth,Franklin India Banking &,Debt
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,Franklin India Banking and,Debt
129007,Franklin India Banking and PSU Debt Fund - IDCW ,Franklin India Banking and,Debt
128628,HDFC Banking and PSU Debt Fund - Growth Option,HDFC Banking and PSU,Debt
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,HDFC Banking and PSU,Debt
128627,HDFC Banking and PSU Debt Fund - IDCW Option,HDFC Banking and PSU,Debt
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,HDFC Banking and PSU,Debt
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,HSBC Banking and PSU,Debt
151107,HSBC Banking and PSU Debt Fund - Direct Growth,HSBC Banking and PSU,Debt
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,HSBC Banking and PSU,Debt
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,HSBC Banking and PSU,Debt
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,HSBC Banking and PSU,Debt
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,ICICI Prudential Banking and,Debt
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,ICICI Prudential Banking and,Debt
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,ICICI Prudential Banking and,Debt
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,ICICI Prudential Banking and,Debt
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,ICICI Prudential Banking and,Debt
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Invesco India Banking and,Other
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),Invesco India Banking and,Other
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Invesco India Banking and,Other
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),Invesco India Banking and,Other
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,Invesco India Banking and,Other
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,ITI Banking & PSU,Debt
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,ITI Banking & PSU,Debt
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,ITI Banking & PSU,Debt
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,ITI Banking & PSU,Debt
123690,Kotak Banking and PSU Debt - Growth,Kotak Banking and PSU,Debt
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,Kotak Banking and PSU,Debt
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,Kotak Banking and PSU,Debt
123693,Kotak Banking and PSU Debt Direct - Growth,Kotak Banking and PSU,Debt
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,Kotak Banking and PSU,Debt
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,LIC MF Banking &,Other
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,LIC MF Banking &,Other
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,LIC MF Banking &,Other
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,LIC MF Banking &,Other
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,LIC MF Banking &,Other
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,Mirae Asset Banking and,Other
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,Mirae Asset Banking and,Other
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Mirae Asset Banking and,Other
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,Mirae Asset Banking and,Other
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,NIPPON INDIA BANKING and,Other
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,NIPPON INDIA BANKING and,Other
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,Nippon India Banking and,Other
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,NIPPON INDIA BANKING and,Other
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,NIPPON INDIA BANKING and,Other
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,NIPPON INDIA BANKING and,Other
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Nippon India Banking and,Other
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,Nippon India Banking and,Other
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,Nippon India Banking and,Other
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),SBI Banking & PSU,Other
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,SBI BANKING & PSU,Other
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Banking & PSU,Other
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Banking & PSU,Other
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,SBI BANKING & PSU,Other
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),SBI Banking & PSU,Other
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Banking & PSU,Other
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,Sundaram Banking & PSU,Debt
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,Sundaram Banking & PSU,Debt
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,Sundaram Banking & PSU,Debt
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,Sundaram Banking & PSU,Debt
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,Sundaram Banking & PSU,Debt
140135,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,UTI Banking & PSU,Other
133972,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,UTI Banking & PSU,Other
126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,UTI Banking & PSU,Other
141375,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,UTI Banking & PSU,Other
134026,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,UTI Banking & PSU,Other
141586,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,Axis Corporate Bond Fund,Other
141590,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,Axis Corporate Bond Fund,Other
141591,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,Axis Corporate Bond Fund,Other
141587,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,Axis Corporate Bond Fund,Other
141588,Axis Corporate Bond Fund - Direct Plan Growth,Axis Corporate Bond Fund,Other
139201,BANDHAN Corporate Bond Fund - Direct Annual IDCW,BANDHAN Corporate Bond Fund,Other
135916,BANDHAN Corporate Bond Fund - Direct Growth,BANDHAN Corporate Bond Fund,Other
139200,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,BANDHAN Corporate Bond Fund,Other
139198,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,BANDHAN Corporate Bond Fund,Other
135917,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,BANDHAN Corporate Bond Fund,Other
150230,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,BARODA BNP PARIBAS Corporate,Other
150229,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,BARODA BNP PARIBAS Corporate,Other
150231,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,BARODA BNP PARIBAS Corporate,Other
150228,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,BARODA BNP PARIBAS Corporate,Other
150236,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,BARODA BNP PARIBAS Corporate,Other
150233,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,BARODA BNP PARIBAS CORPORATE,Other
150235,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,BARODA BNP PARIBAS CORPORATE,Other
150234,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,BARODA BNP PARIBAS CORPORATE,Other
150232,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,BARODA BNP PARIBAS CORPORATE,Other
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,CANARA ROBECO CORPORATE BOND,Other
126686,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),CANARA ROBECO CORPORATE BOND,Other
126687,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,CANARA ROBECO CORPORATE BOND,Other
126688,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),CANARA ROBECO CORPORATE BOND,Other
144646,DSP Corporate Bond Fund - Direct - Growth,DSP Corporate Bond Fund,Other
144647,DSP Corporate Bond Fund - Direct - IDCW,DSP Corporate Bond Fund,Other
144651,DSP Corporate Bond Fund - Direct - IDCW - Monthly,DSP Corporate Bond Fund,Other
144648,DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,DSP Corporate Bond Fund,Other
144644,DSP Corporate Bond Fund - Regular - Growth,DSP Corporate Bond Fund,Other
119289,Franklin India Corporate Debt Fund - Direct - Bonus,Franklin India Corporate Debt,Debt
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,Franklin India Corporate Debt,Debt
100528,Franklin India Corporate Debt Fund - Growth,Franklin India Corporate Debt,Debt
100532,Franklin India Corporate Debt Fund - Monthly Bonus,Franklin India Corporate Debt,Debt
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,Franklin India Corporate Debt,Debt
113070,HDFC Corporate Bond Fund - Growth Option,HDFC Corporate Bond Fund,Other
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,HDFC Corporate Bond Fund,Other
132848,HDFC Corporate Bond Fund - IDCW Option,HDFC Corporate Bond Fund,Other
132849,HDFC Corporate Bond Fund - IDCW Option - Direct Plan,HDFC Corporate Bond Fund,Other
113071,HDFC Corporate Bond Fund - Quarterly IDCW Option,HDFC Corporate Bond Fund,Other
151000,HSBC Corporate Bond Fund - Direct Annual IDCW,HSBC Corporate Bond Fund,Other
150996,HSBC Corporate Bond Fund - Direct Growth,HSBC Corporate Bond Fund,Other
150998,HSBC Corporate Bond Fund - Direct Quarterly IDCW,HSBC Corporate Bond Fund,Other
150997,HSBC Corporate Bond Fund - Direct Semi Annual IDCW,HSBC Corporate Bond Fund,Other
151001,HSBC Corporate Bond Fund - Regular Annual IDCW,HSBC Corporate Bond Fund,Other
130947,ICICI Prudential Corporate Bond Fund - Bonus,ICICI Prudential Corporate Bond,Other
111988,ICICI Prudential Corporate Bond Fund - Daily IDCW,ICICI Prudential Corporate Bond,Other
120695,ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,ICICI Prudential Corporate Bond,Other
120696,ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,ICICI Prudential Corporate Bond,Other
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,ICICI Prudential Corporate Bond,Other
120500,Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),Invesco India Corporate Bond,Other
120499,Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),Invesco India Corporate Bond,Other
120497,Invesco India Corporate Bond Fund - Direct Plan - Growth,Invesco India Corporate Bond,Other
120496,Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Invesco India Corporate Bond,Other
120501,Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),Invesco India Corporate Bond,Other
133770,Kotak Coporate Bond Fund- Retail Plan-Growth Option,Kotak Coporate Bond Fund-,Other
133791,Kotak Corporate Bond Fund- Direct Plan- Growth Option,Kotak Corporate Bond Fund-,Other
133792,Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option,Kotak Corporate Bond Fund-,Other
133772,Kotak Corporate Bond Fund- Institutional Plan-Growth Option,Kotak Corporate Bond Fund-,Other
133782,Kotak Corporate Bond Fund- Regular Plan-Growth Option,Kotak Corporate Bond Fund-,Other
133787,Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option,Kotak Corporate Bond Fund-,Other
148755,Mirae Asset Corporate Bond Fund Direct Growth Plan,Mirae Asset Corporate Bond,Other
148756,Mirae Asset Corporate Bond Fund Direct IDCW,Mirae Asset Corporate Bond,Other
148757,Mirae Asset Corporate Bond Fund Regular Growth,Mirae Asset Corporate Bond,Other
148758,Mirae Asset Corporate Bond Fund Regular IDCW,Mirae Asset Corporate Bond,Other
109472,NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option,NIPPON INDIA CORPORATE BOND,Other
118808,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option,NIPPON INDIA CORPORATE BOND,Other
125266,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option,NIPPON INDIA CORPORATE BOND,Other
118809,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option,NIPPON INDIA CORPORATE BOND,Other
118811,NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option,NIPPON INDIA CORPORATE BOND,Other
118807,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,Nippon India Corporate Bond,Other
118814,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Nippon India Corporate Bond,Other
100859,Nippon India Corporate Bond Fund - Growth Plan - Bonus Option,Nippon India Corporate Bond,Other
100856,Nippon India Corporate Bond Fund - Growth Plan - Growth Option,Nippon India Corporate Bond,Other
138317,PGIM India Corporate Bond Fund - Annual Dividend,PGIM India Corporate Bond,Other
138329,PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend,PGIM India Corporate Bond,Other
138330,PGIM India Corporate Bond Fund - Direct Plan - Growth,PGIM India Corporate Bond,Other
138331,PGIM India Corporate Bond Fund - Direct Plan - Monthly Dividend,PGIM India Corporate Bond,Other
138332,PGIM India Corporate Bond Fund - Direct Plan - Quarterly Dividend,PGIM India Corporate Bond,Other
138336,PGIM India Premier Bond Fund - Annual Bonus,PGIM India Premier Bond,Other
138324,PGIM India Premier Bond Fund - Bonus,PGIM India Premier Bond,Other
138333,PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus,PGIM India Premier Bond,Other
138334,PGIM India Premier Bond Fund - Half-Yearly Bonus,PGIM India Premier Bond,Other
146215,SBI Corporate Bond Fund - Direct Plan - Growth,SBI Corporate Bond Fund,Other
146212,SBI Corporate Bond Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Corporate Bond Fund,Other
146216,SBI Corporate Bond Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Corporate Bond Fund,Other
146207,SBI Corporate Bond Fund - Regular Plan - Growth,SBI Corporate Bond Fund,Other
146208,SBI Corporate Bond Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Corporate Bond Fund,Other
119628,Sundaram Banking and PSU Debt Fund Direct Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Sundaram Banking and PSU,Debt
119621,Sundaram Corporate Bond Fund Direct Plan - Growth,Sundaram Corporate Bond Fund,Other
119624,Sundaram Corporate Bond Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Corporate Bond Fund,Other
119622,Sundaram Corporate Bond Fund Direct Plan - Income Distribution cum Capital Withdrawal(IDCW),Sundaram Corporate Bond Fund,Other
119631,Sundaram Corporate Bond Fund Direct Plan -Income Distribution cum Capital Withdrawal (IDCW),Sundaram Corporate Bond Fund,Other
119630,Sundaram Corporate Bond Fund Direct Plan-Income Distribution cum Capital Withdrawal(IDCW),Sundaram Corporate Bond Fund,Other
149361,Tata Corporate Bond Fund-Direct Plan-Growth,Tata Corporate Bond Fund-Direct,Other
149364,Tata Corporate Bond Fund-Direct Plan-IDCW Monthly Payout,Tata Corporate Bond Fund-Direct,Other
149357,Tata Corporate Bond Fund-Direct Plan-IDCW Monthly Reinvestment,Tata Corporate Bond Fund-Direct,Other
149355,Tata Corporate Bond Fund-Direct Plan-IDCW Periodic Payout,Tata Corporate Bond Fund-Direct,Other
149356,Tata Corporate Bond Fund-Direct Plan-IDCW Periodic Reinvestment,Tata Corporate Bond Fund-Direct,Other
149351,Tata Corporate Bond Fund-Regular Plan-Growth,Tata Corporate Bond Fund-Regular,Other
149353,Tata Corporate Bond Fund-Regular Plan-IDCW Monthly Payout,Tata Corporate Bond Fund-Regular,Other
149363,Tata Corporate Bond Fund-Regular Plan-IDCW Monthly Reinvestment,Tata Corporate Bond Fund-Regular,Other
149360,Tata Corporate Bond Fund-Regular Plan-IDCW Periodic Payout,Tata Corporate Bond Fund-Regular,Other
149352,Tata Corporate Bond Fund-Regular Plan-IDCW Periodic Reinvestment,Tata Corporate Bond Fund-Regular,Other
151320,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH,TRUSTMF CORPORATE BOND FUND-DIRECT,Other
151321,TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-MONTHLY IDCW,TRUSTMF CORPORATE BOND FUND-DIRECT,Other
151322,TRUSTMF CORPORATE BOND FUND-REGULAR PLAN-GROWTH,TRUSTMF CORPORATE BOND FUND-REGULAR,Other
151319,TRUSTMF CORPORATE BOND FUND-REGULAR PLAN-MONTHLY IDCW,TRUSTMF CORPORATE BOND FUND-REGULAR,Other
143241,Union Corporate Bond Fund - Direct Plan - Growth Option,Union Corporate Bond Fund,Other
143242,Union Corporate Bond Fund - Direct Plan - IDCW Option,Union Corporate Bond Fund,Other
143239,Union Corporate Bond Fund - Regular Plan - Growth Option,Union Corporate Bond Fund,Other
143240,Union Corporate Bond Fund - Regular Plan - IDCW Option,Union Corporate Bond Fund,Other
148085,UTI - Bond Fund ( Segregated - 17022020) - Regular Plan - Growth Option,UTI - Bond Fund,Other
148086,UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,UTI - Bond Fund,Other
148076,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Annual IDCW,UTI Bond Fund (,Other
148090,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Flexi IDCW,UTI Bond Fund (,Other
148091,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Half-Yearly IDCW,UTI Bond Fund (,Other
148092,UTI Bond Fund ( Segregated - 17022020) - Direct Plan - Quarterly IDCW,UTI Bond Fund (,Other
148075,UTI Bond Fund ( Segregated - 17022020) - Regular Plan - Annual IDCW,UTI Bond Fund (,Other
144344,UTI Corporate Bond Fund - Direct Plan - Annual IDCW,UTI Corporate Bond Fund,Other
144341,UTI Corporate Bond Fund - Direct Plan - Flexi IDCW,UTI Corporate Bond Fund,Other
144339,UTI Corporate Bond Fund - Direct Plan - Growth Option,UTI Corporate Bond Fund,Other
144340,UTI Corporate Bond Fund - Direct Plan - Half-Yearly IDCW,UTI Corporate Bond Fund,Other
144346,UTI Corporate Bond Fund - Direct Plan - Quarterly IDCW,UTI Corporate Bond Fund,Other
130314,Axis Credit Risk Fund - Direct Plan - Growth,Axis Credit Risk Fund,Other
130312,Axis Credit Risk Fund - Direct Plan - Monthly IDCW,Axis Credit Risk Fund,Other
130311,Axis Credit Risk Fund - Direct Plan - Weekly IDCW,Axis Credit Risk Fund,Other
130309,Axis Credit Risk Fund - Regular Plan - Growth,Axis Credit Risk Fund,Other
130313,Axis Credit Risk Fund - Regular Plan - Monthly IDCW,Axis Credit Risk Fund,Other
140605,BANDHAN CREDIT RISK FUND - DIRECT PLAN HALF YEARLY IDCW,BANDHAN CREDIT RISK FUND,Other
140608,BANDHAN Credit Risk Fund - Regular Plan Annual IDCW,BANDHAN Credit Risk Fund,Other
140609,BANDHAN Credit Risk Fund - Regular Plan Growth,BANDHAN Credit Risk Fund,Other
140611,BANDHAN Credit Risk Fund - Regular Plan Half Yearly IDCW,BANDHAN Credit Risk Fund,Other
140612,BANDHAN Credit Risk Fund - Regular Plan Periodic IDCW,BANDHAN Credit Risk Fund,Other
140607,BANDHAN Credit Risk Fund - Regular Plan Quarterly IDCW,BANDHAN Credit Risk Fund,Other
140610,BANDHAN Credit Risk Fund-Direct Plan-Annual IDCW,BANDHAN Credit Risk Fund-Direct,Other
140603,BANDHAN Credit Risk Fund-Direct Plan-Growth,BANDHAN Credit Risk Fund-Direct,Other
140606,BANDHAN Credit Risk Fund-Direct Plan-Periodic IDCW,BANDHAN Credit Risk Fund-Direct,Other
140604,BANDHAN Credit Risk Fund-Direct Plan-Quarterly IDCW,BANDHAN Credit Risk Fund-Direct,Other
133868,BANK OF INDIA Credit Risk  Fund - Direct Plan,BANK OF INDIA Credit,Other
133867,BANK OF INDIA Credit Risk Fund - Regular Plan,BANK OF INDIA Credit,Other
152903,Baroda BNP Paribas Credit Risk fund - Regular-Quarterly- IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular-Quarterly IDCW option Seg. Portfolio 1),Baroda BNP Paribas Credit,Other
152905,Baroda BNP Paribas Credit Risk fund - Regular-Weekly-IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular-Weekly IDCW option Seg. Portfolio 1),Baroda BNP Paribas Credit,Other
152892,Baroda BNP Paribas Credit risk fund -Defunct -Growth option -Seg-Portfolio 2 (erstwhile BBNPP Medium Duration Fund-Defunct Growth Option Seg.Portfolio1),Baroda BNP Paribas Credit,Other
152899,Baroda BNP Paribas Credit Risk fund -Defunct -Monthly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Defunct-Monthly IDCW option Seg. Portfolio 1),Baroda BNP Paribas Credit,Other
152894,Baroda BNP Paribas Credit Risk fund -Defunct -Weekly IDCW option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Defunct-Weekly IDCW option Seg. Portfolio 1),Baroda BNP Paribas Credit,Other
119084,DSP Credit Risk Fund - Direct Plan -  IDCW - Monthly,DSP Credit Risk Fund,Other
119082,DSP Credit Risk Fund - Direct Plan - Growth,DSP Credit Risk Fund,Other
119083,DSP Credit Risk Fund - Direct Plan - IDCW,DSP Credit Risk Fund,Other
119087,DSP Credit Risk Fund - Direct Plan - IDCW - Daily,DSP Credit Risk Fund,Other
119085,DSP Credit Risk Fund - Direct Plan - IDCW - Quarterly ,DSP Credit Risk Fund,Other
118553,Franklin India Credit Risk Fund - Direct - Growth,Franklin India Credit Risk,Other
118552,Franklin India Credit Risk Fund - Direct - IDCW ,Franklin India Credit Risk,Other
116153,Franklin India Credit Risk Fund - Growth,Franklin India Credit Risk,Other
116154,Franklin India Credit Risk Fund - IDCW ,Franklin India Credit Risk,Other
148304,Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes bank Ltd CO 23Dec21) - Direct Growth Plan,Franklin India Credit Risk,Other
128053,HDFC Credit Risk Debt Fund - Growth Option,HDFC Credit Risk Debt,Debt
