scheme_code,scheme_name,fund_house,category
153038,PGIM India Healthcare Fund - Regular Plan - IDCW Option,PGIM India Healthcare Fund,Other
151791,quant BFSI Fund - Growth Option - Direct Plan,quant BFSI Fund -,Other
151788,quant BFSI Fund - Growth Option - Regular Plan,quant BFSI Fund -,Other
151790,quant BFSI Fund - IDCW Option - Direct Plan,quant BFSI Fund -,Other
151789,quant BFSI Fund - IDCW Option - Regular Plan,quant BFSI Fund -,Other
151757,quant Business Cycle Fund - Growth Option - Direct Plan,quant Business Cycle Fund,Other
151758,quant Business Cycle Fund - Growth Option - Regular Plan,quant Business Cycle Fund,Other
151759,quant Business Cycle Fund - IDCW Option - Direct Plan,quant Business Cycle Fund,Other
151760,quant Business Cycle Fund - IDCW Option - Regular Plan,quant Business Cycle Fund,Other
152255,quant Commodities Fund - Growth Option - Direct Plan,quant Commodities Fund -,Other
152256,quant Commodities Fund - Growth Option - Regular Plan,quant Commodities Fund -,Other
152257,quant Commodities Fund - IDCW Option - Direct Plan,quant Commodities Fund -,Other
152258,quant Commodities Fund - IDCW Option - Regular Plan,quant Commodities Fund -,Other
152336,quant Consumption Fund - Growth Option - Direct Plan,quant Consumption Fund -,Other
152338,quant Consumption Fund - Growth Option - Regular Plan,quant Consumption Fund -,Other
152339,quant Consumption Fund - IDCW Option - Direct Plan,quant Consumption Fund -,Other
152337,quant Consumption Fund - IDCW Option - Regular Plan,quant Consumption Fund -,Other
148564,quant ESG Integration Strategy Fund - Growth Option - Direct Plan,quant ESG Integration Strategy,Other
148560,quant ESG Integration Strategy Fund - Growth Option - Regular Plan,quant ESG Integration Strategy,Other
148563,quant ESG Integration Strategy Fund - IDCW Option - Direct Plan,quant ESG Integration Strategy,Other
148561,quant ESG Integration Strategy Fund - IDCW Option - Regular Plan,quant ESG Integration Strategy,Other
151853,quant Healthcare Fund - Growth Option - Direct Plan,quant Healthcare Fund -,Other
151855,quant Healthcare Fund - Growth Option - Regular Plan,quant Healthcare Fund -,Other
151854,quant Healthcare Fund - IDCW Option - Direct Plan,quant Healthcare Fund -,Other
151856,quant Healthcare Fund - IDCW Option - Regular Plan,quant Healthcare Fund -,Other
106170,quant Infrastructure Fund - Growth Option,quant Infrastructure Fund -,Other
120833,quant Infrastructure Fund - Growth Option-Direct Plan,quant Infrastructure Fund -,Other
120832,quant Infrastructure Fund - IDCW Option - Direct Plan,quant Infrastructure Fund -,Other
106169,quant Infrastructure Fund - IDCW Option - Regular Plan,quant Infrastructure Fund -,Other
151916,quant Manufacturing Fund - Growth Option - Direct Plan,quant Manufacturing Fund -,Other
151913,quant Manufacturing Fund - Growth Option - Regular Plan,quant Manufacturing Fund -,Other
151914,quant Manufacturing Fund - IDCW Option - Direct Plan,quant Manufacturing Fund -,Other
151915,quant Manufacturing Fund - IDCW Option - Regular Plan,quant Manufacturing Fund -,Other
152189,quant Momentum Fund - Growth Option - Direct Plan,quant Momentum Fund -,Other
152190,quant Momentum Fund - Growth Option - Regular Plan,quant Momentum Fund -,Other
152192,quant Momentum Fund - IDCW Option - Direct Plan,quant Momentum Fund -,Other
152191,quant Momentum Fund - IDCW Option - Regular Plan,quant Momentum Fund -,Other
152415,quant PSU Fund - Growth Option - Direct Plan,quant PSU Fund -,Other
152413,quant PSU Fund - Growth Option - Regular Plan,quant PSU Fund -,Other
152416,quant PSU Fund - IDCW Option - Direct Plan,quant PSU Fund -,Other
152414,quant PSU Fund - IDCW Option - Regular Plan,quant PSU Fund -,Other
148925,quant Quantamental Fund - Growth Option - Direct Plan,quant Quantamental Fund -,Other
148923,quant Quantamental Fund - Growth Option - Regular Plan,quant Quantamental Fund -,Other
148924,quant Quantamental Fund - IDCW Option - Direct Plan,quant Quantamental Fund -,Other
148922,quant Quantamental Fund - IDCW Option - Regular Plan,quant Quantamental Fund -,Other
152067,quant Teck Fund - Growth Option - Direct Plan,quant Teck Fund -,Other
152070,quant Teck Fund - Growth Option - Regular Plan,quant Teck Fund -,Other
152068,quant Teck Fund - IDCW Option - Direct Plan,quant Teck Fund -,Other
152069,quant Teck Fund - IDCW Option - Regular Plan,quant Teck Fund -,Other
147372,QUANTUM ESG BEST IN CLASS STRATEGY FUND - DIRECT PLAN - GROWTH OPTION,QUANTUM ESG BEST IN,Other
147371,QUANTUM ESG BEST IN CLASS STRATEGY FUND - REGULAR PLAN - GROWTH OPTION,QUANTUM ESG BEST IN,Other
153094,Quantum Ethical Fund - Direct Plan Growth Option,Quantum Ethical Fund -,Other
153095,Quantum Ethical Fund - Regular Plan Growth Option,Quantum Ethical Fund -,Other
151753,Samco Active Momentum Fund - Direct Plan - Growth Option,Samco Active Momentum Fund,Other
151752,Samco Active Momentum Fund - Regular Plan - Growth Option,Samco Active Momentum Fund,Other
152586,Samco Special Opportunities Fund - Direct Plan - Growth,Samco Special Opportunities Fund,Other
152587,Samco Special Opportunities Fund - Regular Plan - Growth,Samco Special Opportunities Fund,Other
152657,SBI Automotive Opportunities Fund - Direct Plan - Growth,SBI Automotive Opportunities Fund,Other
152655,SBI Automotive Opportunities Fund - Direct Plan - Income Distribution Cum Capital Withdrawal Option,SBI Automotive Opportunities Fund,Other
152658,SBI Automotive Opportunities Fund - Regular Plan - Growth,SBI Automotive Opportunities Fund,Other
152656,SBI Automotive Opportunities Fund - Regular Plan - Income Distribution Cum Capital Withdrawal Option,SBI Automotive Opportunities Fund,Other
133859,SBI BANKING & FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH,SBI BANKING & FINANCIAL,Other
133857,SBI Banking & Financial Services Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Banking & Financial,Other
133858,SBI BANKING & FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,SBI BANKING & FINANCIAL,Other
133860,SBI Banking & Financial Services Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Banking & Financial,Other
119705,SBI COMMA Fund - DIRECT PLAN - Growth,SBI COMMA Fund -,Other
119613,SBI Comma Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Comma Fund -,Other
103145,SBI COMMA Fund - REGULAR PLAN - Growth,SBI COMMA Fund -,Other
103146,SBI Comma Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Comma Fund -,Other
120575,SBI CONSUMPTION OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,SBI CONSUMPTION OPPORTUNITIES FUND,Other
119730,SBI Consumption Opportunities Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Consumption Opportunities Fund,Other
120576,SBI CONSUMPTION OPPORTUNITIES FUND - REGULAR - GROWTH,SBI CONSUMPTION OPPORTUNITIES FUND,Other
100645,SBI Consumption Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Consumption Opportunities Fund,Other
152417,SBI Energy Opportunities Fund - Direct Plan - Growth,SBI Energy Opportunities Fund,Other
152420,SBI Energy Opportunities Fund - Direct Plan - Income Distribution Cum Capital Withdrawal Option,SBI Energy Opportunities Fund,Other
152418,SBI Energy Opportunities Fund - Regular Plan - Growth,SBI Energy Opportunities Fund,Other
152419,SBI Energy Opportunities Fund - Regular Plan - Income Distribution Cum Capital Withdrawal Option,SBI Energy Opportunities Fund,Other
146643,SBI Equity Minimum Variance Fund - Direct Plan - Growth,SBI Equity Minimum Variance,Equity
146642,SBI Equity Minimum Variance Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Equity Minimum Variance,Equity
146644,SBI Equity Minimum Variance Fund - Regular Plan - Growth,SBI Equity Minimum Variance,Equity
146641,SBI Equity Minimum Variance Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Equity Minimum Variance,Equity
119708,SBI ESG Exclusionary Strategy Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI ESG Exclusionary Strategy,Other
119709,SBI ESG Exclusionary Strategy Fund - Direct Plan -Growth,SBI ESG Exclusionary Strategy,Other
104523,SBI ESG Exclusionary Strategy Fund - Regular Plan - Growth,SBI ESG Exclusionary Strategy,Other
101295,SBI ESG Exclusionary Strategy Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI ESG Exclusionary Strategy,Other
119782,SBI Healthcare Opportunities Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Healthcare Opportunities Fund,Other
119783,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,SBI HEALTHCARE OPPORTUNITIES FUND,Other
100644,SBI Healthcare Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Healthcare Opportunities Fund,Other
102823,SBI HEALTHCARE OPPORTUNITIES FUND - REGULAR PLAN -GROWTH,SBI HEALTHCARE OPPORTUNITIES FUND,Other
119700,SBI INFRASTRUCTURE FUND -  DIRECT PLAN - GROWTH,SBI INFRASTRUCTURE FUND -,Other
106096,SBI INFRASTRUCTURE FUND -  REGULAR PLAN - GROWTH,SBI INFRASTRUCTURE FUND -,Other
119695,SBI Infrastructure Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Infrastructure Fund -,Other
106095,SBI Infrastructure Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Infrastructure Fund -,Other
152776,SBI Innovative Opportunities Fund - Direct Plan - Growth,SBI Innovative Opportunities Fund,Other
152777,SBI Innovative Opportunities Fund - Direct Plan - Income Distribution Cum Capital Withdrawal Option,SBI Innovative Opportunities Fund,Other
152774,SBI Innovative Opportunities Fund - Regular Plan - Growth,SBI Innovative Opportunities Fund,Other
152775,SBI Innovative Opportunities Fund - Regular Plan - Income Distribution Cum Capital Withdrawal Option,SBI Innovative Opportunities Fund,Other
119710,SBI MNC Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI MNC Fund -,Other
119711,SBI MNC FUND - DIRECT PLAN -GROWTH,SBI MNC FUND -,Other
103114,SBI MNC Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI MNC Fund -,Other
103034,SBI MNC FUND - REGULAR PLAN -GROWTH,SBI MNC FUND -,Other
119732,SBI PSU Fund - DIRECT PLAN - GROWTH,SBI PSU Fund -,Other
119733,SBI PSU Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI PSU Fund -,Other
112923,SBI PSU Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI PSU Fund -,Other
113099,SBI PSU Fund - REGULAR PLAN -Growth,SBI PSU Fund -,Other
154177,SBI Quality Fund - Direct Plan - Growth,SBI Quality Fund -,Other
154178,SBI Quality Fund - Direct Plan - Income Distribution Cum Capital Withdrawal,SBI Quality Fund -,Other
154175,SBI Quality Fund - Regular Plan - Growth,SBI Quality Fund -,Other
154176,SBI Quality Fund - Regular Plan - Income Distribution Cum Capital Withdrawal,SBI Quality Fund -,Other
153154,SBI Quant Fund- Direct Plan- Growth,SBI Quant Fund- Direct,Other
153151,SBI Quant Fund- Direct Plan- Income Distribution cum Capital Withdrawal Option (IDCW),SBI Quant Fund- Direct,Other
153153,SBI Quant Fund- Regular Plan- Growth,SBI Quant Fund- Regular,Other
153152,SBI Quant Fund- Regular Plan- Income Distribution Cum Capital Withdrawal Option (IDCW),SBI Quant Fund- Regular,Other
120578,SBI TECHNOLOGY OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,SBI TECHNOLOGY OPPORTUNITIES FUND,Other
119731,SBI Technology Opportunities Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Technology Opportunities Fund,Other
120577,SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,SBI TECHNOLOGY OPPORTUNITIES FUND,Other
100643,SBI Technology Opportunities Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),SBI Technology Opportunities Fund,Other
153076,Shriram Multi Sector Rotation Fund - Direct Plan Growth Option,Shriram Multi Sector Rotation,Other
153077,Shriram Multi Sector Rotation Fund - Regular Plan Growth Option,Shriram Multi Sector Rotation,Other
152677,Sundaram Business Cycle Fund Direct Plan Growth,Sundaram Business Cycle Fund,Other
152676,Sundaram Business Cycle Fund Direct Plan IDCW Payout,Sundaram Business Cycle Fund,Other
152673,Sundaram Business Cycle Fund Direct Plan IDCW Reinvestment,Sundaram Business Cycle Fund,Other
152678,Sundaram Business Cycle Fund Regular Plan Growth,Sundaram Business Cycle Fund,Other
152674,Sundaram Business Cycle Fund Regular Plan IDCW Payout,Sundaram Business Cycle Fund,Other
119595,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund Direct Plan - Growth),Sundaram Consumption Fund (Formerly,Other
113373,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Consumption Fund (Formerly,Other
103743,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Consumption Fund (Formerly,Other
119594,Sundaram Consumption Fund (Formerly Known asSundaram Rural and Consumption Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Consumption Fund (Formerly,Other
102142,Sundaram Consumption Fund(Formerly Known as Sundaram Rural and Consumption Fund Regular Plan - Growth),Sundaram Consumption Fund(Formerly Known,Other
119597,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,Sundaram Financial Services Opportunities,Other
119596,Sundaram Financial Services Opportunities Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Financial Services Opportunities,Other
109061,Sundaram Financial Services Opportunities Fund Institutional Plan - Growth,Sundaram Financial Services Opportunities,Other
109060,Sundaram Financial Services Opportunities Fund Institutional Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Financial Services Opportunities,Other
109059,Sundaram Financial Services Opportunities Fund Regular Plan - Growth,Sundaram Financial Services Opportunities,Other
129212,Sundaram Infrastructure Advantage Fund Direct Plan - Growth,Sundaram Infrastructure Advantage Fund,Other
129211,Sundaram Infrastructure Advantage Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Infrastructure Advantage Fund,Other
129213,Sundaram Infrastructure Advantage Fund Regular Plan - Growth,Sundaram Infrastructure Advantage Fund,Other
129210,Sundaram Infrastructure Advantage Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Infrastructure Advantage Fund,Other
153669,Sundaram Multi-Factor Fund - Direct - Growth,Sundaram Multi-Factor Fund -,Other
153670,Sundaram Multi-Factor Fund - Direct - IDCW Payout,Sundaram Multi-Factor Fund -,Other
153666,Sundaram Multi-Factor Fund - Direct - IDCW Reinvestment,Sundaram Multi-Factor Fund -,Other
153667,Sundaram Multi-Factor Fund - Regular - Growth,Sundaram Multi-Factor Fund -,Other
153671,Sundaram Multi-Factor Fund - Regular - IDCW Payout,Sundaram Multi-Factor Fund -,Other
144835,Sundaram Services Fund Direct Plan - Growth,Sundaram Services Fund Direct,Other
144836,Sundaram Services Fund Direct Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW) ,Sundaram Services Fund Direct,Other
144837,Sundaram Services Fund Direct Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Sundaram Services Fund Direct,Other
144838,Sundaram Services Fund Regular Plan - Growth,Sundaram Services Fund Regular,Other
144839,Sundaram Services Fund Regular Plan - Payout of Income Distribution cum Capital Withdrawal (IDCW) ,Sundaram Services Fund Regular,Other
144834,Sundaram Services Fund Regular Plan - Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Sundaram Services Fund Regular,Other
135789,TATA Banking & Financial Services Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,TATA Banking & Financial,Other
135792,TATA Banking & Financial Services Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA Banking & Financial,Other
135790,TATA Banking & Financial Services Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,TATA Banking & Financial,Other
135791,TATA Banking & Financial Services Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA Banking & Financial,Other
135793,Tata Banking And Financial Services Fund-Direct Plan-Growth,Tata Banking And Financial,Other
135794,Tata Banking And Financial Services Fund-Regular Plan-Growth,Tata Banking And Financial,Other
149071,Tata Business Cycle Fund-Direct Plan-Growth,Tata Business Cycle Fund-Direct,Other
149066,Tata Business Cycle Fund-Direct Plan-IDCW Payout,Tata Business Cycle Fund-Direct,Other
149067,Tata Business Cycle Fund-Direct Plan-IDCW Reinvestment,Tata Business Cycle Fund-Direct,Other
149068,Tata Business Cycle Fund-Regular Plan-Growth,Tata Business Cycle Fund-Regular,Other
149070,Tata Business Cycle Fund-Regular Plan-IDCW Payout,Tata Business Cycle Fund-Regular,Other
149069,Tata Business Cycle Fund-Regular Plan-IDCW Reinvestment,Tata Business Cycle Fund-Regular,Other
135795,TATA Digital India Fund Direct Plan - Payout of Income Distribution cum capital withdrawal option ,TATA Digital India Fund,Other
135798,TATA Digital India Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA Digital India Fund,Other
135796,TATA Digital India Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,TATA Digital India Fund,Other
135799,TATA Digital India Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,TATA Digital India Fund,Other
135800,Tata Digital India Fund-Direct Plan-Growth,Tata Digital India Fund-Direct,Other
135797,Tata Digital India Fund-Regular Plan-Growth,Tata Digital India Fund-Regular,Other
119172,Tata Ethical Fund -Direct Plan- Growth Option,Tata Ethical Fund -Direct,Other
119171,Tata Ethical Fund- Direct Plan - Payout of IDCW Option,Tata Ethical Fund- Direct,Other
101833,Tata Ethical Fund- Regular Plan - Payout of IDCW Option,Tata Ethical Fund- Regular,Other
100415,Tata Ethical Fund-Regular Plan - Growth Option,Tata Ethical Fund-Regular Plan,Other
150532,Tata Housing Opportunities Fund - Direct Plan - Growth,Tata Housing Opportunities Fund,Other
150534,Tata Housing Opportunities Fund - Direct Plan - IDCW Payout,Tata Housing Opportunities Fund,Other
